"","epNSCs","qNSCs","lpNSCs","gene"
"Obp46a","Gene_body_1","Gene_body_1","Gene_body_1","Obp46a"
"Ndg","H1","H1","H1","Ndg"
"CG34222","Enhancers","H1","H1","CG34222"
"SLO2","H1","Enhancers","Enhancers","SLO2"
"CG46298","Low_signal","H1","Enhancers","CG46298"
"CG12902","Low_signal","H1","Enhancers","CG12902"
"CG43397","Low_signal","H1","Enhancers","CG43397"
"CG43396","H1","H1","Enhancers","CG43396"
"Gr47a","H1","H1","H1","Gr47a"
"Ir47b","Low_signal","H1","Low_signal","Ir47b"
"Ir47a","H1","Enhancers","H1","Ir47a"
"CG12898","H1","Low_signal","Low_signal","CG12898"
"CR43177","H1","Low_signal","Low_signal","CR43177"
"CG33477","H1","Low_signal","H1","CG33477"
"CG33476","H1","HP1","H1","CG33476"
"CG33475","H1","HP1","H1","CG33475"
"Prx2540-2","H1","Low_signal","H1","Prx2540-2"
"CG11825","Pc","Enhancers","H1","CG11825"
"CG33474","Pc","HP1","H1","CG33474"
"RanBPM","Gene_body_2","Gene_body_2","Gene_body_2","RanBPM"
"Galphao","H1","Gene_body_2","Enhancers","Galphao"
"Cyp49a1","H1","Enhancers","Enhancers","Cyp49a1"
"Caf1-105","Open_promoters","Open_promoters","Open_promoters","Caf1-105"
"CG11777","Open_promoters","Open_promoters","Open_promoters","CG11777"
"whd","Gene_body_2","Enhancers","Enhancers","whd"
"asRNA:CR45134","Low_signal","Low_signal","Enhancers","asRNA:CR45134"
"trsn","Low_signal","Gene_body_2","Low_signal","trsn"
"CG17765","Low_signal","Gene_body_2","Open_promoters","CG17765"
"pre-lola-G","Low_signal","Gene_body_2","Gene_body_2","pre-lola-G"
"lola","Enhancers","Gene_body_2","Enhancers","lola"
"snoRNA:lola-a","Enhancers","Enhancers","Enhancers","snoRNA:lola-a"
"snoRNA:lola-b","Enhancers","Enhancers","Enhancers","snoRNA:lola-b"
"snoRNA:lola-c","Enhancers","Enhancers","Enhancers","snoRNA:lola-c"
"snoRNA:lola-d","Enhancers","Enhancers","Enhancers","snoRNA:lola-d"
"asRNA:CR45135","Enhancers","Enhancers","Enhancers","asRNA:CR45135"
"lncRNA:acal","Low_signal","Enhancers","Enhancers","lncRNA:acal"
"psq","Enhancers","Low_signal","Enhancers","psq"
"CG11883","H1","Gene_body_1","Low_signal","CG11883"
"Git","Open_promoters","Open_promoters","Gene_body_2","Git"
"Elp2","Gene_body_2","Open_promoters","Gene_body_2","Elp2"
"CG12934","Gene_body_2","Enhancers","Gene_body_2","CG12934"
"lncRNA:CR46229","Enhancers","Low_signal","H1","lncRNA:CR46229"
"stan","Enhancers","Enhancers","Enhancers","stan"
"Rab3","H1","Enhancers","Gene_body_1","Rab3"
"CAH13","Enhancers","H1","H1","CAH13"
"Daao1","Gene_body_2","Open_promoters","Open_promoters","Daao1"
"CG7220","Gene_body_2","Gene_body_2","Gene_body_2","CG7220"
"Mat1","Open_promoters","Open_promoters","Open_promoters","Mat1"
"CG33144","H1","Enhancers","Enhancers","CG33144"
"lncRNA:CR43605","H1","Low_signal","Enhancers","lncRNA:CR43605"
"lncRNA:CR44299","Low_signal","Enhancers","Enhancers","lncRNA:CR44299"
"lncRNA:CR44300","Low_signal","Enhancers","Low_signal","lncRNA:CR44300"
"mthl13","H1","HP1","Enhancers","mthl13"
"wde","Gene_body_1","Gene_body_2","Gene_body_2","wde"
"CG12935","Low_signal","Enhancers","Low_signal","CG12935"
"CG7637","Open_promoters","Open_promoters","Open_promoters","CG7637"
"mms4","Open_promoters","Open_promoters","Open_promoters","mms4"
"CG12341","Open_promoters","Open_promoters","Open_promoters","CG12341"
"CG7222","Open_promoters","Open_promoters","Open_promoters","CG7222"
"dgo","Gene_body_2","HP1","Gene_body_1","dgo"
"Prosbeta5","Open_promoters","Open_promoters","Open_promoters","Prosbeta5"
"Lsm10","Open_promoters","Open_promoters","Open_promoters","Lsm10"
"RpS15Ab","Open_promoters","Open_promoters","Open_promoters","RpS15Ab"
"CG12343","Open_promoters","Open_promoters","Open_promoters","CG12343"
"CG12325","Gene_body_2","Gene_body_1","Gene_body_1","CG12325"
"CG12344","Pc","H1","Pc","CG12344"
"LTV1","Open_promoters","Open_promoters","Open_promoters","LTV1"
"CG30015","Enhancers","Enhancers","Enhancers","CG30015"
"lncRNA:CR44302","H1","Open_promoters","Enhancers","lncRNA:CR44302"
"CG30016","Enhancers","HP1","Enhancers","CG30016"
"nclb","Open_promoters","Open_promoters","Open_promoters","nclb"
"Taf5","Open_promoters","Gene_body_2","Gene_body_2","Taf5"
"Pex6","Gene_body_2","Gene_body_2","Gene_body_1","Pex6"
"Hao","Gene_body_2","Gene_body_2","Gene_body_2","Hao"
"CG18004","Open_promoters","Open_promoters","Open_promoters","CG18004"
"mir-1008","Open_promoters","Open_promoters","Open_promoters","mir-1008"
"CG30020","Gene_body_1","Gene_body_2","Gene_body_2","CG30020"
"cag","Open_promoters","Open_promoters","Open_promoters","cag"
"CG12942","Open_promoters","Open_promoters","Open_promoters","CG12942"
"ND-B14","Open_promoters","Open_promoters","Open_promoters","ND-B14"
"Polr2E","Low_signal","Low_signal","Open_promoters","Polr2E"
"polyph","H1","H1","H1","polyph"
"Obp47a","H1","H1","H1","Obp47a"
"Spn47C","H1","Low_signal","Low_signal","Spn47C"
"lncRNA:CR45228","H1","Enhancers","H1","lncRNA:CR45228"
"CG43188","Enhancers","Enhancers","Enhancers","CG43188"
"lncRNA:CR46409","Enhancers","Enhancers","Enhancers","lncRNA:CR46409"
"Cyp12d1-p","Low_signal","Enhancers","Low_signal","Cyp12d1-p"
"BBS4","H1","Low_signal","Low_signal","BBS4"
"CG13229","H1","Low_signal","Low_signal","CG13229"
"CG13231","Gene_body_1","Low_signal","Gene_body_2","CG13231"
"shn","H1","Enhancers","Enhancers","shn"
"CG9084","Low_signal","H1","Gene_body_1","CG9084"
"Syx6","Open_promoters","Gene_body_2","Open_promoters","Syx6"
"CG7737","Gene_body_2","Gene_body_2","Gene_body_1","CG7737"
"metro","Gene_body_2","H1","Gene_body_1","metro"
"CG13227","H1","H1","H1","CG13227"
"CG34223","Low_signal","H1","H1","CG34223"
"CG13217","Low_signal","H1","H1","CG13217"
"CG34224","H1","H1","H1","CG34224"
"CG13216","H1","H1","Low_signal","CG13216"
"CG13215","H1","H1","Low_signal","CG13215"
"Listericin","H1","H1","Low_signal","Listericin"
"CG13226","H1","H1","H1","CG13226"
"CG34225","H1","H1","H1","CG34225"
"CR30029","H1","Low_signal","Low_signal","CR30029"
"CG34227","Low_signal","H1","H1","CG34227"
"CG43112","H1","Low_signal","Low_signal","CG43112"
"Or47a","H1","H1","H1","Or47a"
"Cpr47Ea","H1","H1","H1","Cpr47Ea"
"Cpr47Eb","H1","H1","H1","Cpr47Eb"
"CG13223","H1","H1","H1","CG13223"
"Cpr47Ec","H1","H1","H1","Cpr47Ec"
"Cpr47Ed","H1","Low_signal","Low_signal","Cpr47Ed"
"Cpr47Ee","H1","H1","H1","Cpr47Ee"
"Cpr47Ef","H1","H1","H1","Cpr47Ef"
"TpnC47D","Enhancers","Enhancers","Low_signal","TpnC47D"
"Cpr47Eg","Gene_body_2","Gene_body_2","H1","Cpr47Eg"
"CG9067","Low_signal","Open_promoters","Low_signal","CG9067"
"Vhl","Open_promoters","Open_promoters","Low_signal","Vhl"
"CG9062","Gene_body_2","Gene_body_2","Gene_body_2","CG9062"
"CG13220","Open_promoters","Open_promoters","Open_promoters","CG13220"
"Fbl6","Gene_body_1","Gene_body_2","Gene_body_2","Fbl6"
"dare","Gene_body_2","Gene_body_1","Gene_body_1","dare"
"CG30033","Gene_body_2","Gene_body_2","Gene_body_2","CG30033"
"CG18336","Gene_body_1","Gene_body_1","Gene_body_1","CG18336"
"CG42336","Gene_body_1","Gene_body_1","Gene_body_1","CG42336"
"CG7745","Open_promoters","Gene_body_1","Gene_body_1","CG7745"
"nompA","H1","H1","H1","nompA"
"CG43114","Gene_body_1","H1","H1","CG43114"
"Or47b","H1","H1","H1","Or47b"
"sha","H1","H1","H1","sha"
"lambdaTry","H1","H1","H1","lambdaTry"
"kappaTry","H1","H1","H1","kappaTry"
"zetaTry","H1","H1","H1","zetaTry"
"etaTry","H1","H1","H1","etaTry"
"thetaTry","H1","H1","H1","thetaTry"
"alphaTry","H1","H1","H1","alphaTry"
"epsilonTry","H1","H1","H1","epsilonTry"
"betaTry","H1","H1","H1","betaTry"
"iotaTry","Low_signal","Enhancers","Gene_body_1","iotaTry"
"tRNA:SeC-TCA-1-1","Low_signal","Enhancers","Gene_body_2","tRNA:SeC-TCA-1-1"
"CG12384","Low_signal","Enhancers","Gene_body_2","CG12384"
"ix","HP1","Open_promoters","HP1","ix"
"san","Open_promoters","Gene_body_2","Gene_body_2","san"
"Gr47b","Gene_body_2","Gene_body_1","Gene_body_1","Gr47b"
"CG13204","Gene_body_2","Open_promoters","Enhancers","CG13204"
"Tapdelta","Open_promoters","Open_promoters","Open_promoters","Tapdelta"
"CG13203","H1","H1","Enhancers","CG13203"
"Tsp47F","H1","Enhancers","Open_promoters","Tsp47F"
"Sod3","Enhancers","Enhancers","Enhancers","Sod3"
"sprt","Enhancers","Enhancers","Enhancers","sprt"
"CG30022","Enhancers","Enhancers","Enhancers","CG30022"
"Smyd4-3","H1","H1","H1","Smyd4-3"
"CG30026","HP1","HP1","Low_signal","CG30026"
"CG34054","HP1","Enhancers","Enhancers","CG34054"
"Drip","H1","Low_signal","Low_signal","Drip"
"CG7763","Low_signal","Low_signal","H1","CG7763"
"lncRNA:CR43771","H1","Low_signal","Low_signal","lncRNA:CR43771"
"Prip","H1","H1","H1","Prip"
"qvr","HP1","HP1","HP1","qvr"
"E(Pc)","Gene_body_2","Gene_body_2","Gene_body_2","E(Pc)"
"inv","Pc","Pc","Pc","inv"
"en","Pc","Pc","Pc","en"
"tou","Gene_body_2","Gene_body_2","Gene_body_1","tou"
"snoRNA:Psi28S-1936","Gene_body_2","Gene_body_2","Gene_body_2","snoRNA:Psi28S-1936"
"snoRNA:Psi28S-1180","Gene_body_2","Gene_body_2","Gene_body_2","snoRNA:Psi28S-1180"
"Egm","Open_promoters","Open_promoters","Open_promoters","Egm"
"CG9005","Enhancers","Enhancers","Enhancers","CG9005"
"CG9003","Gene_body_1","Gene_body_1","Gene_body_1","CG9003"
"Roc2","H1","Gene_body_1","Enhancers","Roc2"
"CG13198","Low_signal","Enhancers","Low_signal","CG13198"
"tRNA:Met-CAT-1-2","H1","Low_signal","Low_signal","tRNA:Met-CAT-1-2"
"Tret1-1","H1","H1","Gene_body_1","Tret1-1"
"Tret1-2","Low_signal","Gene_body_1","Gene_body_1","Tret1-2"
"Buffy","Gene_body_2","Low_signal","H1","Buffy"
"CG13196","Low_signal","Low_signal","H1","CG13196"
"wal","Gene_body_2","Open_promoters","Gene_body_2","wal"
