"","epNSCs","qNSCs","lpNSCs","gene"
"GC","Open_promoters","Open_promoters","Gene_body_1","GC"
"CG13928","Open_promoters","Open_promoters","Open_promoters","CG13928"
"Mettl2","Open_promoters","Open_promoters","Open_promoters","Mettl2"
"Bgb","Low_signal","Open_promoters","Low_signal","Bgb"
"alphaCOP","Gene_body_2","Gene_body_2","Gene_body_2","alphaCOP"
"CG13919","Open_promoters","Open_promoters","Open_promoters","CG13919"
"CG17249","Open_promoters","Open_promoters","Open_promoters","CG17249"
"Bro","Open_promoters","Open_promoters","Open_promoters","Bro"
"asRNA:CR45815","Open_promoters","Open_promoters","Open_promoters","asRNA:CR45815"
"CG13920","Open_promoters","Open_promoters","Open_promoters","CG13920"
"Vta1","Open_promoters","Open_promoters","Open_promoters","Vta1"
"CG7970","Open_promoters","Open_promoters","Open_promoters","CG7970"
"Srrm234","Gene_body_2","Gene_body_2","Gene_body_2","Srrm234"
"CG7974","Open_promoters","Open_promoters","Open_promoters","CG7974"
"Uhg7","Gene_body_2","Gene_body_2","Open_promoters","Uhg7"
"RpL23A","Open_promoters","Open_promoters","Open_promoters","RpL23A"
"snoRNA:Me28S-A2634c","Gene_body_2","Open_promoters","Open_promoters","snoRNA:Me28S-A2634c"
"snoRNA:Me28S-A2634b","Gene_body_2","Gene_body_2","Low_signal","snoRNA:Me28S-A2634b"
"snoRNA:Me28S-A2634a","Gene_body_2","Gene_body_2","Low_signal","snoRNA:Me28S-A2634a"
"snoRNA:Or-CD15","Open_promoters","Low_signal","Open_promoters","snoRNA:Or-CD15"
"RabX5","Low_signal","Low_signal","H1","RabX5"
"CG13930","Low_signal","H1","H1","CG13930"
"CG7991","H1","Enhancers","Enhancers","CG7991"
"CG12011","H1","H1","H1","CG12011"
"drpr","Gene_body_1","Gene_body_1","Gene_body_1","drpr"
"CG18171","Gene_body_1","Gene_body_1","Gene_body_1","CG18171"
"CG12035","H1","Low_signal","Low_signal","CG12035"
"PIG-Wb","Gene_body_1","H1","H1","PIG-Wb"
"Gk2","Low_signal","Gene_body_1","Low_signal","Gk2"
"CG13921","Gene_body_2","Gene_body_2","Gene_body_1","CG13921"
"Cht2","Enhancers","Gene_body_1","H1","Cht2"
"CG8001","Gene_body_1","Open_promoters","Gene_body_1","CG8001"
"Dhc62B","Gene_body_1","H1","H1","Dhc62B"
"CG13933","Gene_body_2","Gene_body_2","Open_promoters","CG13933"
"asRNA:CR44351","Open_promoters","Open_promoters","Open_promoters","asRNA:CR44351"
"PolD2","Open_promoters","Open_promoters","Open_promoters","PolD2"
"CG2021","Open_promoters","Open_promoters","Open_promoters","CG2021"
"mRpL46","Gene_body_2","Open_promoters","Open_promoters","mRpL46"
"alpha-Spec","Gene_body_2","Gene_body_2","Gene_body_1","alpha-Spec"
"asRNA:CR45834","Gene_body_2","Gene_body_2","Gene_body_1","asRNA:CR45834"
"dlt","Gene_body_2","Gene_body_2","H1","dlt"
"Cdc37","Open_promoters","Gene_body_2","Open_promoters","Cdc37"
"asRNA:CR45818","Gene_body_2","Gene_body_2","Open_promoters","asRNA:CR45818"
"CG12020","Gene_body_2","Gene_body_2","Gene_body_2","CG12020"
"Patj","Gene_body_2","Open_promoters","Open_promoters","Patj"
"JTBR","Open_promoters","Open_promoters","Open_promoters","JTBR"
"CG42676","Gene_body_1","Open_promoters","Gene_body_1","CG42676"
"asRNA:CR45686","Gene_body_1","Gene_body_1","Gene_body_1","asRNA:CR45686"
"lncRNA:CR45687","Gene_body_2","Enhancers","Gene_body_1","lncRNA:CR45687"
"GV1","H1","H1","H1","GV1"
"Cpr62Ba","H1","H1","H1","Cpr62Ba"
"Cpr62Bb","H1","Low_signal","Low_signal","Cpr62Bb"
"Cpr62Bc","Low_signal","H1","H1","Cpr62Bc"
"CNMa","H1","H1","H1","CNMa"
"CG12024","Gene_body_2","Low_signal","Open_promoters","CG12024"
"Rap1","Gene_body_2","Gene_body_2","Gene_body_2","Rap1"
"HBS1","Gene_body_2","Gene_body_2","Gene_body_1","HBS1"
"CG12025","Gene_body_1","Open_promoters","Open_promoters","CG12025"
"CG13924","Gene_body_1","Gene_body_1","Gene_body_1","CG13924"
"dre4","Gene_body_2","Gene_body_2","Gene_body_2","dre4"
"CG13937","Low_signal","H1","Enhancers","CG13937"
"Aprt","Low_signal","Open_promoters","Open_promoters","Aprt"
"Tmhs","Enhancers","Enhancers","Open_promoters","Tmhs"
"dsb","H1","Pc","Low_signal","dsb"
"Dbx","Pc","Pc","Pc","Dbx"
"tRNA:Cys-GCA-2-1","Low_signal","Low_signal","Pc","tRNA:Cys-GCA-2-1"
"lncRNA:CR45826","Pc","Pc","Pc","lncRNA:CR45826"
"CG5687","Enhancers","Pc","Pc","CG5687"
"lncRNA:CR44536","Enhancers","Pc","H1","lncRNA:CR44536"
"Mfap1","Open_promoters","Open_promoters","Open_promoters","Mfap1"
"mu2","Gene_body_1","Gene_body_2","Open_promoters","mu2"
"Cnb","Gene_body_2","Gene_body_2","Open_promoters","Cnb"
"mv","Gene_body_2","Gene_body_1","Gene_body_1","mv"
"asRNA:CR45827","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR45827"
"SCOT","Low_signal","Gene_body_2","Low_signal","SCOT"
"asRNA:CR45828","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR45828"
"CG1927","Gene_body_2","Open_promoters","Open_promoters","CG1927"
"CG11815","Low_signal","Low_signal","Enhancers","CG11815"
"CG1139","H1","Low_signal","H1","CG1139"
"lncRNA:CR44535","H1","Low_signal","Low_signal","lncRNA:CR44535"
"CG42357","Low_signal","H1","H1","CG42357"
"CG42356","Low_signal","H1","Low_signal","CG42356"
"CG34259","H1","H1","Enhancers","CG34259"
"sls","H1","H1","H1","sls"
"asRNA:CR42860","H1","Enhancers","H1","asRNA:CR42860"
"zormin","H1","H1","H1","zormin"
"asRNA:CR45802","H1","H1","H1","asRNA:CR45802"
"CG15822","Low_signal","Low_signal","Enhancers","CG15822"
"CG15879","H1","H1","H1","CG15879"
"CG5704","H1","H1","H1","CG5704"
"CR15821","H1","H1","H1","CR15821"
"CG15820","H1","H1","H1","CG15820"
"CG13810","H1","Enhancers","H1","CG13810"
"CG5707","H1","H1","Enhancers","CG5707"
"CG15878","H1","HP1","H1","CG15878"
"Oseg2","Low_signal","H1","H1","Oseg2"
"CG9018","Open_promoters","Open_promoters","Open_promoters","CG9018"
"ACXD","H1","Low_signal","H1","ACXD"
"CG32301","H1","H1","H1","CG32301"
"CG32305","Low_signal","H1","H1","CG32305"
"CG1275","H1","H1","H1","CG1275"
"CG2034","Gene_body_2","Open_promoters","Open_promoters","CG2034"
"oxt","Gene_body_1","Gene_body_2","Gene_body_1","oxt"
"CG13807","Open_promoters","Open_promoters","Open_promoters","CG13807"
"ecd","Open_promoters","Open_promoters","Open_promoters","ecd"
"CG13806","Low_signal","H1","H1","CG13806"
"asRNA:CR45829","Enhancers","H1","H1","asRNA:CR45829"
"obst-I","Enhancers","H1","H1","obst-I"
"CG32302","Low_signal","H1","H1","CG32302"
"yellow-g","Low_signal","H1","H1","yellow-g"
"yellow-g2","H1","H1","Enhancers","yellow-g2"
"MsR2","H1","Low_signal","Enhancers","MsR2"
"MsR1","H1","Enhancers","Low_signal","MsR1"
"CG13801","Low_signal","HP1","H1","CG13801"
"CG1317","Gene_body_2","Gene_body_2","Gene_body_2","CG1317"
"CG8993","Open_promoters","Open_promoters","Open_promoters","CG8993"
"mRpL23","Open_promoters","Open_promoters","Open_promoters","mRpL23"
"CG9004","Gene_body_1","Gene_body_2","Gene_body_1","CG9004"
"CG15877","Gene_body_2","Open_promoters","Open_promoters","CG15877"
"Svil","H1","H1","Enhancers","Svil"
"CG32298","Low_signal","Enhancers","Low_signal","CG32298"
"CG32299","Low_signal","Enhancers","Low_signal","CG32299"
"CG16762","Enhancers","H1","Enhancers","CG16762"
"Cyp4d20","H1","H1","H1","Cyp4d20"
"CG16758","Gene_body_1","H1","Enhancers","CG16758"
"Spn","H1","Enhancers","Enhancers","Spn"
"CG32295","H1","H1","Enhancers","CG32295"
"msn","Enhancers","Enhancers","Enhancers","msn"
"RpL8","Open_promoters","Low_signal","Open_promoters","RpL8"
"dos","Gene_body_2","Gene_body_2","Enhancers","dos"
"CG16984","Gene_body_2","Gene_body_2","Gene_body_1","CG16984"
"CG12182","Gene_body_2","Gene_body_1","Gene_body_1","CG12182"
"CG16985","Gene_body_2","Open_promoters","Low_signal","CG16985"
"CG16986","Gene_body_2","Enhancers","Gene_body_2","CG16986"
"Pxn","H1","Low_signal","Low_signal","Pxn"
"CG42245","Gene_body_2","Gene_body_2","Enhancers","CG42245"
"MEP-1","Gene_body_2","Gene_body_2","Enhancers","MEP-1"
"CG14949","Gene_body_1","Gene_body_2","Gene_body_1","CG14949"
"CG1143","Low_signal","Gene_body_1","Low_signal","CG1143"
"CG1246","Gene_body_1","Gene_body_2","Gene_body_1","CG1246"
"CG42304","Gene_body_2","Open_promoters","Open_promoters","CG42304"
"Snup","Gene_body_2","Open_promoters","Open_promoters","Snup"
"Fife","H1","Enhancers","Enhancers","Fife"
"CG33233","Low_signal","H1","H1","CG33233"
"CG33234","H1","H1","H1","CG33234"
"Mrtf","Low_signal","Enhancers","Enhancers","Mrtf"
"Acp62F","Enhancers","H1","H1","Acp62F"
"Non2","Open_promoters","Open_promoters","Open_promoters","Non2"
"AhcyL1","Gene_body_2","Gene_body_2","Low_signal","AhcyL1"
"CG12093","Gene_body_2","Gene_body_2","Open_promoters","CG12093"
"Atg2","Gene_body_2","Gene_body_2","Gene_body_1","Atg2"
"mRpS35","Open_promoters","Open_promoters","Open_promoters","mRpS35"
"Pgant6","Gene_body_1","Gene_body_1","Gene_body_2","Pgant6"
"Tet","Enhancers","Enhancers","Enhancers","Tet"
"lncRNA:CR44531","Enhancers","Pc","Enhancers","lncRNA:CR44531"
"spz5","H1","Low_signal","Enhancers","spz5"
"Shab","H1","Enhancers","Enhancers","Shab"
"CG9970","Low_signal","Enhancers","H1","CG9970"
"CG32846","Enhancers","HP1","H1","CG32846"
"CG34025","H1","Enhancers","Low_signal","CG34025"
"Or63a","H1","H1","Enhancers","Or63a"
"lncRNA:CR44530","H1","H1","Enhancers","lncRNA:CR44530"
"CPT2","Gene_body_2","Gene_body_2","Open_promoters","CPT2"
"CG2113","Low_signal","Enhancers","Enhancers","CG2113"
"FMRFaR","H1","HP1","Low_signal","FMRFaR"
"CG32488","H1","Enhancers","H1","CG32488"
"CG32487","H1","HP1","HP1","CG32487"
"aly","Low_signal","HP1","H1","aly"
"CG2162","Gene_body_2","Gene_body_2","Gene_body_2","CG2162"
"Jafrac2","Gene_body_2","Gene_body_2","Open_promoters","Jafrac2"
"scramb2","Gene_body_1","Gene_body_1","Gene_body_2","scramb2"
"Sk2","Gene_body_1","Gene_body_2","Gene_body_1","Sk2"
"CG32485","Gene_body_2","Open_promoters","Low_signal","CG32485"
"CG1271","Gene_body_2","Gene_body_2","Gene_body_1","CG1271"
"CG16753","Gene_body_2","Open_promoters","Open_promoters","CG16753"
"CG32486","Enhancers","Gene_body_2","Low_signal","CG32486"
"PAN3","Enhancers","Gene_body_2","Enhancers","PAN3"
"snRNA:U5:63BC","Low_signal","Low_signal","Enhancers","snRNA:U5:63BC"
"Cht7","Low_signal","Enhancers","Enhancers","Cht7"
"tRNA:Lys-CTT-1-13","Low_signal","Enhancers","Low_signal","tRNA:Lys-CTT-1-13"
"tRNA:Cys-GCA-1-4","Low_signal","Enhancers","Low_signal","tRNA:Cys-GCA-1-4"
"CG45066","H1","H1","Low_signal","CG45066"
"CG45067","H1","Gene_body_1","H1","CG45067"
"promL","Gene_body_2","Gene_body_2","Gene_body_1","promL"
"tRNA:Met-CAT-2-1","Gene_body_2","Enhancers","Low_signal","tRNA:Met-CAT-2-1"
"CG11537","Low_signal","Enhancers","Enhancers","CG11537"
"lncRNA:CR45819","Low_signal","Low_signal","H1","lncRNA:CR45819"
"Alg2","Open_promoters","Gene_body_2","Gene_body_1","Alg2"
"Usp5","Open_promoters","Gene_body_1","Gene_body_1","Usp5"
"BtbVII","Gene_body_2","Gene_body_2","Gene_body_2","BtbVII"
"ND-30","Open_promoters","Open_promoters","Open_promoters","ND-30"
"CG15812","Open_promoters","Gene_body_2","Open_promoters","CG15812"
"rasp","Gene_body_1","Gene_body_1","Open_promoters","rasp"
"Asciz","Low_signal","Open_promoters","Open_promoters","Asciz"
"CG32280","H1","Open_promoters","Open_promoters","CG32280"
"CG32278","Open_promoters","Open_promoters","Open_promoters","CG32278"
"CG32281","Open_promoters","Open_promoters","Open_promoters","CG32281"
"CG14963","Gene_body_1","Gene_body_1","Gene_body_1","CG14963"
"MnM","H1","H1","H1","MnM"
"Girdin","Gene_body_2","Gene_body_2","Gene_body_2","Girdin"
"CG42494","Gene_body_1","Gene_body_2","Gene_body_1","CG42494"
"CG32284","Gene_body_1","Gene_body_2","Gene_body_2","CG32284"
"CG14957","Gene_body_1","Gene_body_2","Gene_body_2","CG14957"
"CG42525","Gene_body_1","Gene_body_2","Gene_body_2","CG42525"
"CG14958","Gene_body_2","Gene_body_1","H1","CG14958"
"Hsp83","Gene_body_2","Open_promoters","Open_promoters","Hsp83"
"CG14966","Gene_body_2","Gene_body_2","Enhancers","CG14966"
"CG32276","Gene_body_2","Gene_body_2","Enhancers","CG32276"
"gry","Gene_body_1","Gene_body_1","Gene_body_1","gry"
"CG32271","Gene_body_1","Gene_body_1","Gene_body_1","CG32271"
"CG33159","Gene_body_2","Gene_body_1","Gene_body_1","CG33159"
"CG32277","Gene_body_2","Gene_body_1","Gene_body_1","CG32277"
"CG33160","Gene_body_1","Gene_body_1","H1","CG33160"
"CG32269","Gene_body_2","Low_signal","Gene_body_1","CG32269"
"CG32270","Gene_body_2","Low_signal","Gene_body_1","CG32270"
"hob","Gene_body_2","Gene_body_2","Gene_body_2","hob"
"nSMase","Gene_body_2","Open_promoters","Open_promoters","nSMase"
"RpL28","Open_promoters","Open_promoters","Open_promoters","RpL28"
"snoRNA:Or-CD12","Low_signal","Gene_body_2","Gene_body_2","snoRNA:Or-CD12"
"snoRNA:Me28S-C3351","Open_promoters","Open_promoters","Open_promoters","snoRNA:Me28S-C3351"
"snoRNA:Or-CD11c","Open_promoters","Open_promoters","Open_promoters","snoRNA:Or-CD11c"
"snoRNA:Or-CD11b","Open_promoters","Open_promoters","Open_promoters","snoRNA:Or-CD11b"
"snoRNA:Or-CD11a","Open_promoters","Open_promoters","Open_promoters","snoRNA:Or-CD11a"
"Larp4B","Gene_body_2","Gene_body_2","Gene_body_2","Larp4B"
"CG17746","Gene_body_2","Gene_body_2","Gene_body_2","CG17746"
"CG12078","Low_signal","Low_signal","H1","CG12078"
"CG43389","Low_signal","Low_signal","Pc","CG43389"
"lncRNA:CR43626","H1","Enhancers","Enhancers","lncRNA:CR43626"
"mir-282","H1","Enhancers","Low_signal","mir-282"
"ckd","H1","H1","Enhancers","ckd"
"CG12017","H1","H1","H1","CG12017"
"CG12009","H1","H1","H1","CG12009"
"CG14968","H1","Low_signal","Low_signal","CG14968"
"ZnT63C","Gene_body_2","Gene_body_2","Gene_body_1","ZnT63C"
"Drsl2","Gene_body_2","Gene_body_2","Low_signal","Drsl2"
"Drsl3","Gene_body_1","Gene_body_1","Gene_body_1","Drsl3"
"Drsl4","Gene_body_1","H1","H1","Drsl4"
"PIG-C","Open_promoters","Gene_body_2","Low_signal","PIG-C"
"CG12016","Gene_body_2","Open_promoters","Enhancers","CG12016"
"Dpm2","Gene_body_2","Open_promoters","Enhancers","Dpm2"
"Strip","Gene_body_2","Open_promoters","Open_promoters","Strip"
"PHGPx","H1","Open_promoters","Open_promoters","PHGPx"
"lncRNA:CR45380","Low_signal","Gene_body_2","Gene_body_2","lncRNA:CR45380"
"CG14961","Gene_body_2","Gene_body_2","Gene_body_1","CG14961"
"CG14969","Low_signal","Gene_body_2","Gene_body_2","CG14969"
"kst","H1","Gene_body_1","Gene_body_1","kst"
"Drs","H1","Gene_body_2","Low_signal","Drs"
"Ythdc1","Open_promoters","Open_promoters","Open_promoters","Ythdc1"
"CG12010","Gene_body_1","Gene_body_2","Open_promoters","CG12010"
"CG12012","Open_promoters","Gene_body_2","Open_promoters","CG12012"
"Ids","Gene_body_1","Gene_body_1","H1","Ids"
"lncRNA:CR45737","Low_signal","Enhancers","H1","lncRNA:CR45737"
"sty","Enhancers","Enhancers","Enhancers","sty"
"mir-2282","Enhancers","Enhancers","Enhancers","mir-2282"
"eIF5B","Low_signal","Enhancers","Enhancers","eIF5B"
"CG46463","Gene_body_1","HP1","Gene_body_1","CG46463"
"armi","Gene_body_1","HP1","Gene_body_1","armi"
"CycJ","Gene_body_1","Gene_body_1","Gene_body_1","CycJ"
"CG14971","Gene_body_2","Gene_body_2","H1","CG14971"
"CG42324","Low_signal","Enhancers","Low_signal","CG42324"
"ImpE2","H1","H1","H1","ImpE2"
"lncRNA:CR45820","Enhancers","Enhancers","Low_signal","lncRNA:CR45820"
"CG10359","Low_signal","Enhancers","Enhancers","CG10359"
"CG14974","Pc","Pc","Pc","CG14974"
"dar1","Pc","Pc","Pc","dar1"
"CG10862","H1","Pc","H1","CG10862"
"CG43098","H1","Pc","Gene_body_1","CG43098"
"lncRNA:CR43485","Low_signal","Low_signal","H1","lncRNA:CR43485"
"lncRNA:CR45675","H1","H1","Pc","lncRNA:CR45675"
"ntc","Low_signal","HP1","H1","ntc"
"IntS10","Gene_body_2","Gene_body_2","Open_promoters","IntS10"
"CG32262","Gene_body_2","Enhancers","Low_signal","CG32262"
"CG32263","Low_signal","HP1","Low_signal","CG32263"
"PIG-B","Open_promoters","Gene_body_2","Gene_body_2","PIG-B"
"Scsalpha1","H1","Gene_body_1","Low_signal","Scsalpha1"
"lncRNA:CR43932","H1","Low_signal","Low_signal","lncRNA:CR43932"
"lncRNA:CR45034","H1","Gene_body_2","Low_signal","lncRNA:CR45034"
"Acp63F","Gene_body_1","Gene_body_2","Gene_body_2","Acp63F"
"enc","Gene_body_2","Gene_body_2","Gene_body_1","enc"
"Awh","Pc","Pc","Pc","Awh"
"lncRNA:CR45379","Pc","Pc","Pc","lncRNA:CR45379"
"lncRNA:CR43917","Pc","Pc","Pc","lncRNA:CR43917"
"lncRNA:CR45422","Pc","Pc","Low_signal","lncRNA:CR45422"
"Fie","Pc","Open_promoters","Enhancers","Fie"
"snRNA:U11","Pc","Open_promoters","Enhancers","snRNA:U11"
"Lamtor4","Open_promoters","Open_promoters","Open_promoters","Lamtor4"
"Ccz1","Gene_body_2","Open_promoters","Open_promoters","Ccz1"
"Sc2","Gene_body_1","Open_promoters","Open_promoters","Sc2"
"ida","Gene_body_2","Gene_body_1","Gene_body_1","ida"
"mge","Open_promoters","Open_promoters","Open_promoters","mge"
"Eip63F-1","H1","H1","Enhancers","Eip63F-1"
"asRNA:Eig63F-2","H1","HP1","Enhancers","asRNA:Eig63F-2"
"CG10866","Gene_body_2","Open_promoters","Open_promoters","CG10866"
"CG12766","H1","H1","H1","CG12766"
"asRNA:CR43916","H1","Low_signal","H1","asRNA:CR43916"
"CG10863","Low_signal","Open_promoters","Open_promoters","CG10863"
"CG14982","Low_signal","Open_promoters","Open_promoters","CG14982"
"CG10853","Low_signal","Enhancers","Enhancers","CG10853"
"CG14983","H1","Enhancers","Enhancers","CG14983"
"CG14984","Low_signal","Enhancers","Enhancers","CG14984"
"CG12605","Low_signal","Low_signal","Enhancers","CG12605"
"CG43915","Enhancers","Enhancers","Enhancers","CG43915"
"scrt","Open_promoters","Open_promoters","Enhancers","scrt"
"CG14985","Enhancers","Enhancers","Low_signal","CG14985"
"FoxL1","Low_signal","Pc","Low_signal","FoxL1"
"Mul1","Gene_body_1","Open_promoters","Gene_body_2","Mul1"
"CG11594","Gene_body_1","Gene_body_2","Gene_body_2","CG11594"
"Gr64a","H1","Low_signal","Low_signal","Gr64a"
"Gr64b","H1","H1","H1","Gr64b"
"Gr64c","H1","H1","H1","Gr64c"
"Gr64d","H1","H1","H1","Gr64d"
"Gr64e","H1","H1","H1","Gr64e"
"asRNA:CR45042","H1","H1","H1","asRNA:CR45042"
"Gr64f","H1","H1","H1","Gr64f"
"CG11593","Open_promoters","Open_promoters","Gene_body_2","CG11593"
"Rcd5","Open_promoters","Open_promoters","Open_promoters","Rcd5"
"CG1136","H1","H1","H1","CG1136"
"Dpy-30L2","H1","H1","H1","Dpy-30L2"
"Ugt305A1","H1","Low_signal","H1","Ugt305A1"
"dib","Gene_body_1","H1","Gene_body_1","dib"
"wit","Gene_body_1","Gene_body_1","H1","wit"
"CG32259","H1","Low_signal","Low_signal","CG32259"
"Faa","Enhancers","Pc","Pc","Faa"
"Gad1","Enhancers","Pc","Pc","Gad1"
"CG14989","Pc","Pc","Pc","CG14989"
"CG14990","Low_signal","Gene_body_1","H1","CG14990"
"CG14995","Gene_body_2","Pc","Enhancers","CG14995"
"Fit1","Open_promoters","Gene_body_1","Gene_body_1","Fit1"
"Ack","Gene_body_2","Gene_body_1","Gene_body_1","Ack"
"Chd64","H1","Enhancers","Enhancers","Chd64"
"ens","Gene_body_2","Gene_body_2","Gene_body_2","ens"
"RfC4","Open_promoters","Gene_body_2","Open_promoters","RfC4"
"Rop","Open_promoters","Open_promoters","Open_promoters","Rop"
"Ras64B","Open_promoters","Enhancers","Gene_body_2","Ras64B"
"Akh","Gene_body_1","Gene_body_1","Gene_body_2","Akh"
"CG32260","Pc","Low_signal","H1","CG32260"
"CG1299","Pc","Enhancers","Gene_body_2","CG1299"
"nab","Pc","Gene_body_2","Pc","nab"
"mas","Pc","Gene_body_2","Low_signal","mas"
"lncRNA:CR44529","Pc","Low_signal","Enhancers","lncRNA:CR44529"
"Ero1L","Gene_body_2","Gene_body_2","Gene_body_2","Ero1L"
"CG18675","Gene_body_2","Gene_body_1","Gene_body_1","CG18675"
"Teh4","Gene_body_1","Gene_body_1","Gene_body_1","Teh4"
"Teh2","Gene_body_2","Gene_body_1","Open_promoters","Teh2"
"Teh3","Gene_body_2","Enhancers","Enhancers","Teh3"
"VhaM9.7-c","Open_promoters","Open_promoters","Open_promoters","VhaM9.7-c"
"tipE","Low_signal","HP1","Low_signal","tipE"
"CG43367","H1","H1","H1","CG43367"
"CG15005","H1","Gene_body_1","H1","CG15005"
"Cpr64Aa","H1","H1","H1","Cpr64Aa"
"Cpr64Ab","Low_signal","H1","H1","Cpr64Ab"
"Cpr64Ac","Low_signal","H1","H1","Cpr64Ac"
"Cpr64Ad","H1","H1","H1","Cpr64Ad"
"asRNA:CR32252","Low_signal","Enhancers","Gene_body_1","asRNA:CR32252"
"ImpL2","Enhancers","Enhancers","Enhancers","ImpL2"
"CG46460","Open_promoters","Enhancers","Open_promoters","CG46460"
"asRNA:CR45738","H1","H1","Low_signal","asRNA:CR45738"
"CG14997","H1","HP1","HP1","CG14997"
"pav","Open_promoters","Open_promoters","Open_promoters","pav"
"ago","Gene_body_2","Gene_body_2","Open_promoters","ago"
"CG1265","Open_promoters","Open_promoters","Open_promoters","CG1265"
"CG1309","Gene_body_2","Gene_body_2","Gene_body_2","CG1309"
"CG11586","Low_signal","Gene_body_2","Gene_body_2","CG11586"
"CG1273","H1","Low_signal","H1","CG1273"
"CG33764","H1","Low_signal","Low_signal","CG33764"
"Ctl1","Gene_body_1","Gene_body_1","Gene_body_1","Ctl1"
"CG11583","Gene_body_1","Open_promoters","Open_promoters","CG11583"
"srw","Open_promoters","Open_promoters","Open_promoters","srw"
"CG1316","Open_promoters","Open_promoters","Open_promoters","CG1316"
"TfIIEbeta","Gene_body_2","Open_promoters","Open_promoters","TfIIEbeta"
"Hexo1","Gene_body_2","Gene_body_2","Gene_body_2","Hexo1"
"CG15012","Open_promoters","Open_promoters","Open_promoters","CG15012"
"Fdx2","Open_promoters","Open_promoters","Open_promoters","Fdx2"
"dyl","H1","Low_signal","H1","dyl"
"Claspin","Gene_body_1","HP1","Gene_body_1","Claspin"
"PMP34","Gene_body_2","Gene_body_2","Open_promoters","PMP34"
"CG15014","Open_promoters","Open_promoters","Open_promoters","CG15014"
"Cip4","Enhancers","H1","Enhancers","Cip4"
"lncRNA:CR45156","Low_signal","H1","Enhancers","lncRNA:CR45156"
"mRpS6","Open_promoters","Open_promoters","Open_promoters","mRpS6"
"CG33514","Gene_body_2","Gene_body_2","Gene_body_2","CG33514"
"CG11342","Gene_body_2","Gene_body_2","Low_signal","CG11342"
"DopEcR","H1","Gene_body_2","Enhancers","DopEcR"
"CG32240","Low_signal","HP1","Low_signal","CG32240"
"slow","H1","H1","H1","slow"
"Syx17","Open_promoters","Open_promoters","Open_promoters","Syx17"
"CG15019","Open_promoters","Open_promoters","Open_promoters","CG15019"
"DOR","Gene_body_2","Enhancers","Enhancers","DOR"
"CG15020","H1","H1","H1","CG15020"
"nAChRbeta1","Low_signal","Gene_body_2","Gene_body_1","nAChRbeta1"
"CG15021","H1","Enhancers","H1","CG15021"
"lncRNA:CR45739","H1","Low_signal","H1","lncRNA:CR45739"
"CG12607","H1","Low_signal","Low_signal","CG12607"
"CG11345","H1","H1","H1","CG11345"
"CG15024","Low_signal","H1","H1","CG15024"
"CG32249","H1","Low_signal","Low_signal","CG32249"
"CG32248","H1","Low_signal","Low_signal","CG32248"
"CG11349","H1","H1","H1","CG11349"
"CG7465","H1","Enhancers","Enhancers","CG7465"
"CG13722","H1","Low_signal","Low_signal","CG13722"
"lncRNA:CR44709","H1","H1","H1","lncRNA:CR44709"
"CG13720","H1","H1","H1","CG13720"
"NT1","H1","H1","H1","NT1"
"Tie","H1","H1","H1","Tie"
"CG11353","H1","H1","H1","CG11353"
"CG11357","Enhancers","Gene_body_2","Enhancers","CG11357"
"CG33777","H1","Low_signal","Low_signal","CG33777"
"Src64B","Enhancers","Low_signal","Enhancers","Src64B"
"CG32246","H1","Enhancers","Enhancers","CG32246"
"lncRNA:CR45438","Open_promoters","Open_promoters","Open_promoters","lncRNA:CR45438"
"HDAC1","Open_promoters","Gene_body_2","Open_promoters","HDAC1"
"axo","H1","H1","H1","axo"
"CG13716","H1","H1","H1","CG13716"
"TTLL1B","H1","H1","H1","TTLL1B"
"asRNA:CR45830","H1","Low_signal","Low_signal","asRNA:CR45830"
"CG32236","H1","H1","H1","CG32236"
"CG34266","H1","Low_signal","Low_signal","CG34266"
"CG7514","H1","H1","H1","CG7514"
"CG18418","H1","H1","H1","CG18418"
"RhoGEF64C","H1","Enhancers","Low_signal","RhoGEF64C"
"CG15876","Low_signal","H1","H1","CG15876"
"CG13713","H1","Enhancers","H1","CG13713"
"lncRNA:CR43879","Low_signal","Enhancers","Enhancers","lncRNA:CR43879"
"lncRNA:CR45983","H1","Low_signal","Low_signal","lncRNA:CR45983"
"lncRNA:CR43882","H1","Enhancers","Enhancers","lncRNA:CR43882"
"CG12493","Low_signal","H1","Low_signal","CG12493"
"CG13711","H1","Low_signal","Low_signal","CG13711"
"lncRNA:CR45821","H1","Enhancers","Low_signal","lncRNA:CR45821"
"CG18808","Gene_body_2","Gene_body_2","Gene_body_2","CG18808"
"Dhc64C","Gene_body_2","Gene_body_1","Gene_body_1","Dhc64C"
"LeuRS-m","Gene_body_2","Open_promoters","Gene_body_2","LeuRS-m"
"CG13708","Gene_body_2","H1","H1","CG13708"
"CG32235","Enhancers","H1","H1","CG32235"
"Dnah3","H1","H1","H1","Dnah3"
"CG13705","Low_signal","H1","Enhancers","CG13705"
"hoka","Low_signal","Enhancers","H1","hoka"
"Rh50","H1","Enhancers","Low_signal","Rh50"
"lncRNA:CR43627","Low_signal","Enhancers","Low_signal","lncRNA:CR43627"
"Con","H1","Enhancers","Low_signal","Con"
"lncRNA:CR45685","Low_signal","Low_signal","Enhancers","lncRNA:CR45685"
